Modèle,RMSE Test,RMSE Train,Écart %,MAE,R²,Params
LightGBM,87.51937289099048,9.236206533571856,89.4466719441923,62.71255380427238,0.8841614577833695,"{'n_estimators': 1200, 'max_depth': 7, 'learning_rate': 0.07, 'num_leaves': 63, 'subsample': 0.6, 'colsample_bytree': 0.7, 'min_child_samples': 20, 'reg_alpha': 0.5, 'reg_lambda': 2.5}"
LightGBM,85.20406377064053,44.4059221749088,47.88285885700898,60.386192104868414,0.8902093625270008,"{'n_estimators': 1200, 'max_depth': 6, 'learning_rate': 0.03, 'num_leaves': 15, 'subsample': 0.8, 'colsample_bytree': 0.6, 'min_child_samples': 30, 'reg_alpha': 0.3, 'reg_lambda': 2.0}"
LightGBM,87.08262870518986,19.090453826947385,78.07777037648192,61.647713648905125,0.8853147013468158,"{'n_estimators': 1200, 'max_depth': 7, 'learning_rate': 0.05, 'num_leaves': 31, 'subsample': 0.7, 'colsample_bytree': 0.5, 'min_child_samples': 20, 'reg_alpha': 0.7, 'reg_lambda': 2.5}"
LightGBM,88.83209417235705,8.984515488403957,89.88595780375087,63.93825141763437,0.8806604240763862,"{'n_estimators': 1200, 'max_depth': 6, 'learning_rate': 0.1, 'num_leaves': 31, 'subsample': 0.6, 'colsample_bytree': 0.7, 'min_child_samples': 20, 'reg_alpha': 0.7, 'reg_lambda': 2.5}"
LightGBM,86.57713382391947,22.813149217837022,73.64991400127153,61.76559139399124,0.8866422812034614,"{'n_estimators': 700, 'max_depth': 7, 'learning_rate': 0.07, 'num_leaves': 31, 'subsample': 0.6, 'colsample_bytree': 0.7, 'min_child_samples': 20, 'reg_alpha': 0.5, 'reg_lambda': 2.5}"
LightGBM,85.17665299634199,41.62728447713885,51.12829277416362,60.43299987608898,0.8902799920761134,"{'n_estimators': 1200, 'max_depth': 6, 'learning_rate': 0.03, 'num_leaves': 31, 'subsample': 0.7, 'colsample_bytree': 0.7, 'min_child_samples': 50, 'reg_alpha': 0.7, 'reg_lambda': 2.0}"
LightGBM,87.21709220052692,26.590567577156403,69.5122058001886,62.62056185387943,0.8849602588580578,"{'n_estimators': 1000, 'max_depth': 7, 'learning_rate': 0.1, 'num_leaves': 15, 'subsample': 0.7, 'colsample_bytree': 0.5, 'min_child_samples': 50, 'reg_alpha': 0.7, 'reg_lambda': 2.0}"
LightGBM,88.44210692648122,8.017969194089275,90.93421733976291,62.535545845105446,0.881705964022468,"{'n_estimators': 1000, 'max_depth': 8, 'learning_rate': 0.1, 'num_leaves': 31, 'subsample': 0.7, 'colsample_bytree': 0.6, 'min_child_samples': 20, 'reg_alpha': 0.3, 'reg_lambda': 1.5}"
LightGBM,86.14629964463172,30.862154557292158,64.17471825881803,61.62703814016109,0.8877676791062993,"{'n_estimators': 1000, 'max_depth': 8, 'learning_rate': 0.03, 'num_leaves': 63, 'subsample': 0.6, 'colsample_bytree': 0.6, 'min_child_samples': 30, 'reg_alpha': 0.5, 'reg_lambda': 3.0}"
LightGBM,85.65450944471705,43.16230819515852,49.6088314847962,61.04476434717927,0.8890454405057152,"{'n_estimators': 700, 'max_depth': 7, 'learning_rate': 0.05, 'num_leaves': 15, 'subsample': 0.8, 'colsample_bytree': 0.6, 'min_child_samples': 20, 'reg_alpha': 0.7, 'reg_lambda': 3.0}"
