date_heure_comptage;debit_horaire;taux_occupation;etat_trafic;etat_arc;est_vacances;est_ferie;precipitation;duree_precipitation_min;vitesse_vent_ms
2025-02-12 00:00:00;545.0;6.98389;Fluide;Ouvert;0;0;0.0;0.0;1.6
2025-02-11 22:00:00;628.0;13.06111;Fluide;Ouvert;0;0;0.0;0.0;1.6
2025-02-11 21:00:00;762.0;13.54334;Fluide;Ouvert;0;0;0.0;0.0;1.3
2025-02-11 18:00:00;964.0;20.51834;Pré-saturé;Ouvert;0;0;0.0;0.0;1.3
2025-02-11 17:00:00;864.0;17.21722;Pré-saturé;Ouvert;0;0;0.0;0.0;0.5
2025-02-11 15:00:00;843.0;18.78611;Pré-saturé;Ouvert;0;0;0.0;0.0;0.7
2025-02-11 14:00:00;773.0;18.76389;Pré-saturé;Ouvert;0;0;0.0;0.0;1.6
2025-09-02 08:00:00;773.0;9.39778;Fluide;Ouvert;0;0;0.0;0.0;4.7
2025-06-07 00:00:00;760.0;11.77833;Fluide;Ouvert;0;0;0.0;0.0;2.5
2025-06-06 23:00:00;737.0;14.07722;Fluide;Ouvert;0;0;0.0;0.0;2.3
2025-06-06 18:00:00;1048.0;27.00111;Pré-saturé;Ouvert;0;0;0.0;0.0;5.1
2024-09-03 23:00:00;222.0;21.88611;Pré-saturé;Invalide;0;0;0.0;0.0;1.4
2024-09-03 21:00:00;285.0;29.37778;Pré-saturé;Invalide;0;0;0.0;0.0;1.4
2024-09-03 20:00:00;267.0;10.42722;Fluide;Invalide;0;0;0.0;0.0;2.0
2024-09-03 19:00:00;313.0;37.13;Saturé;Invalide;0;0;0.0;0.0;1.7
2024-09-03 18:00:00;315.0;6.01556;Fluide;Invalide;0;0;0.0;0.0;1.2
2024-09-03 16:00:00;421.0;4.97278;Fluide;Invalide;0;0;0.0;0.0;2.9
2024-12-09 10:00:00;1069.0;13.43611;Fluide;Invalide;0;0;0.0;2.0;5.8
2024-12-09 12:00:00;;;Inconnu;Invalide;0;0;0.0;0.0;5.5
2024-12-09 14:00:00;850.0;27.17833;Pré-saturé;Invalide;0;0;0.0;14.0;4.5
2024-12-09 17:00:00;887.0;22.63833;Pré-saturé;Invalide;0;0;0.2;60.0;6.2
